Group Title,Notation,Parent
Supply chain managers,1243/02,1243
Managers and Proprietors in Other Services,125,12
"Property, housing, and estate managers",1251,125
Facilities managers,1251/01,1251
"Landlords, property, and housing managers",1251/02,1251
Property developers,1251/03,1251
Sales and lettings mangers,1251/04,1251
Shopping centre managers,1251/05,1251
"Property, housing, and estate managers n.e.c.",1251/99,1251
Garage managers and proprietors,1252,125
Garage managers and proprietors,1252/00,1252
Hairdressing and beauty salon managers and proprietors,1253,125
Beauty salon managers,1253/01,1253
Hairdressing managers,1253/02,1253
Waste disposal and environmental services managers,1254,125
Environmental managers,1254/01,1254
Landfill site managers,1254/02,1254
Nuclear waste managers,1254/03,1254
Recycling managers,1254/04,1254
Scrap metal merchant managers,1254/05,1254
Sewage works and water treatment managers,1254/06,1254
Waste disposal and environmental services managers n.e.c.,1254/99,1254
Managers and directors in the creative industries,1255,125
Art gallery managers,1255/01,1255
Booking agents,1255/02,1255
Film and television production managers,1255/03,1255
Publishing managers,1255/04,1255
Radio production managers,1255/05,1255
Theatre production managers,1255/06,1255
Managers and directors in the creative industries n.e.c.,1255/99,1255
Betting shop and gambling establishment managers,1256,125
Betting shop managers,1256/01,1256
Bingo hall managers,1256/02,1256
Casino managers,1256/03,1256
Betting shop and gambling establishment managers n.e.c.,1256/99,1256
Hire services managers and proprietors,1257,125
Hire services managers and proprietors,1257/00,1257
Directors in consultancy services,1258,125
Design consultancy directors,1258/01,1258
Environmental consultancy directors,1258/02,1258
Management consultancy directors,1258/03,1258
Surveying consultancy directors,1258/04,1258
Directors in consultancy services n.e.c.,1258/99,1258
Managers and proprietors in other services n.e.c.,1259,125
Cleaning and hygiene services managers,1259/01,1259
Educational establishment directors,1259/02,1259
Funeral services and crematorium managers,1259/03,1259
Library managers,1259/04,1259
Recruitment agency managers,1259/05,1259
Security services managers,1259/06,1259
Managers and proprietors in other services n.e.c.,1259/99,1259
PROFESSIONAL OCCUPATIONS,2,
"SCIENCE, RESEARCH, ENGINEERING AND TECHNOLOGY PROFESSIONALS",21,2
Natural and social science professionals,211,21
Chemical scientists,2111,211
Analytical chemists,2111/01,2111
Industrial chemists,2111/02,2111
Nuclear and radiochemists,2111/03,2111
Research and development chemists,2111/04,2111
Chemical scientists n.e.c.,2111/99,2111
Biological scientists,2112,211
Agricultural scientists,2112/01,2112
Biologists,2112/02,2112
Botanical scientists,2112/03,2112
Horticultural scientists,2112/04,2112
Microbiologists and bacteriologists,2112/05,2112
Pathologists,2112/06,2112
Pharmacologists,2112/07,2112
Zoological scientists,2112/08,2112
Biological scientists n.e.c.,2112/99,2112
Biochemists and biomedical scientists,2113,211
Biochemists,2113/01,2113
Biomedical scientists,2113/02,2113
Biotechnologists,2113/03,2113
Clinical scientists,2113/04,2113
Biochemists and biomedical scientists n.e.c.,2113/99,2113
Physical scientists,2114,211
Geologists,2114/01,2114
Geophysicists,2114/02,2114
Hydrogeologists and hydrologists,2114/03,2114
Medical physicists,2114/04,2114
Meteorologists,2114/05,2114
Nuclear energy scientists,2114/06,2114
Renewable energy engineers,2114/07,2114
Physical scientists n.e.c.,2114/99,2114
Social and humanities scientists,2115,211
Anthropologists,2115/01,2115
Archaeologists,2115/02,2115
Behavioural scientists,2115/03,2115
Epidemiologists,2115/04,2115
Genealogists,2115/05,2115
GIS analysts,2115/06,2115
Historians,2115/07,2115
Political researchers,2115/08,2115
Public health analysts,2115/09,2115
Social and humanities scientists n.e.c.,2115/99,2115
Natural and social science professionals n.e.c.,2119,211
Sports scientists,2119/01,2119
University researchers (unspecified discipline),2119/02,2119
Natural and social science professionals n.e.c.,2119/99,2119
Engineering professionals,212,21
Civil engineers,2121,212
Building and building services engineers,2121/01,2121
Environmental engineers,2121/02,2121
Geotechnical engineers,2121/03,2121
Mining engineers,2121/04,2121
Structural engineers,2121/05,2121
Transportation engineers,2121/06,2121
Water engineers,2121/07,2121
Civil engineers n.e.c.,2121/99,2121
Mechanical engineers,2122,212
Automotive engineers,2122/01,2122
Marine engineers and naval architects,2122/02,2122
Mechanical design engineers,2122/03,2122
Mechanical engineers n.e.c.,2122/99,2122
Electrical engineers,2123,212
Control and instrumentation engineers,2123/01,2123
Laser engineers,2123/02,2123
Power systems engineers,2123/03,2123
Railway signalling engineers,2123/04,2123
Electrical engineers n.e.c.,2123/99,2123
Electronics engineers,2124,212
Broadcast engineers,2124/01,2124
Electronics design engineers,2124/02,2124
Telecommunications engineers,2124/03,2124
Electronics engineers n.e.c.,2124/99,2124
Production and process engineers,2125,212
Chemical engineers,2125/01,2125
Control engineers,2125/02,2125
Industrial and production engineers,2125/03,2125
Production and process engineers n.e.c.,2125/99,2125
Aerospace engineers,2126,212
Aeronautical engineers,2126/01,2126
Aircraft engineers,2126/02,2126
Avionics engineers,2126/03,2126
Aerospace engineers n.e.c.,2126/99,2126
Engineering project managers and project engineers,2127,212
Contract managers,2127/01,2127
Project engineers,2127/02,2127
Project managers,2127/03,2127
Engineering professionals n.e.c.,2129,212
Acoustic engineers,2129/01,2129
Biomedical engineers,2129/02,2129
Brewers,2129/03,2129
Clinical Engineers,2129/04,2129
Energy engineers,2129/05,2129
Food technologists,2129/06,2129
Gas engineers,2129/07,2129
Heating and ventilating engineers,2129/08,2129
Materials scientists,2129/09,2129
Mechatronic engineers,2129/10,2129
Nuclear engineers,2129/11,2129
Patent agents,2129/12,2129
Robotics engineers,2129/13,2129
Test engineers,2129/14,2129
Traffic engineers,2129/15,2129
Engineering professionals n.e.c.,2129/99,2129
Information technology professionals,213,21
IT project managers,2131,213
IT project managers,2131/00,2131
IT managers,2132,213
Information managers,2132/01,2132
IT service delivery managers,2132/02,2132
Network managers,2132/03,2132
Product managers,2132/04,2132
Software development managers,2132/05,2132
Systems managers,2132/06,2132
Technical support managers,2132/07,2132
Test managers,2132/08,2132
IT managers n.e.c.,2132/99,2132
"IT business analysts, architects, and systems designers",2133,213
Computer analysts and scientists,2133/01,2133
Data architects,2133/02,2133
Data engineers,2133/03,2133
IT systems architects,2133/04,2133
IT business analysts,2133/05,2133
IT solutions designers,2133/06,2133
"IT business analysts, architects, and systems designers n.e.c.",2133/99,2133
Programmers and software development professionals,2134,213
Computer games designers,2134/01,2134
Computer programmers,2134/02,2134
Software developers,2134/03,2134
Programmers and software development professionals n.e.c.,2134/99,2134
Cyber security professionals,2135,213
Cyber security management and governance specialists,2135/01,2135
Cyber operational defence specialists,2135/02,2135
Forensic computer specialists,2135/03,2135
Secure system development specialists,2135/04,2135
Cyber security professionals n.e.c.,2135/99,2135
IT quality and testing professionals,2136,213
IT quality and testing professionals,2136/00,2136
IT network professionals,2137,213
IT network professionals,2137/00,2137
Information technology professionals n.e.c.,2139,213
DevOps engineers,2139/01,2139
IT consultants,2139/01,2139
Webmasters and website managers,2139/02,2139
Information technology professionals n.e.c.,2139/99,2139
Web and multimedia design professionals,214,21
Web design professionals,2141,214
Applications designers,2141/01,2141
UI and UX designers,2141/02,2141
Web designers,2141/03,2141
Web design professionals n.e.c.,2141/99,2141
Graphic and multimedia designers,2142,214
Animators,2142/01,2142
Graphic and multimedia designers n.e.c.,2142/99,2142
Conservation and environment professionals,215,21
Conservation professionals,2151,215
Conservationists,2151/01,2151
Ecologists,2151/02,2151
Heritage officers,2151/03,2151
Conservation professionals n.e.c.,2151/99,2151
Environment professionals,2152,215
Energy managers,2152/01,2152
Environmental and geo-environmental engineers,2152/02,2152
Environmental consultants,2152/03,2152
Environmental scientists,2152/04,2152
Sustainability officers,2152/05,2152
Environmental professionals n.e.c.,2152/99,2152
Research and development (R&D) and other research professionals,216,21
Research and development (R&D) managers,2161,216
Design managers,2161/01,2161
Laboratory managers,2161/02,2161
Research and development (R&D) managers n.e.c.,2161/99,2161
"Other researchers, unspecified discipline",2162,216
"Other researchers, unspecified discipline",2162/00,2162
HEALTH PROFESSIONALS,22,2
Medical practitioners,221,22
Generalist medical practitioners,2211,221
General practitioners,2211/01,2211
Public health doctors,2211/02,2211
Generalist medical practitioners n.e.c.,2211/99,2211
Specialist medical practitioners,2212,221
Anaesthetists,2212/01,2212
Cardiologists,2212/02,2212
Dermatologists,2212/03,2212
Gastroenterologists,2212/04,2212
Gynaecologists and obstetricians,2212/05,2212
Haematologists,2212/06,2212
Homeopaths (medically qualified),2212/07,2212
Neurologists,2212/08,2212
Oncologists,2212/09,2212
Paediatricians,2212/10,2212
Psychiatrists,2212/11,2212
Radiologists,2212/12,2212
Rheumatologists,2212/13,2212
Surgeons,2212/14,2212
Specialist medical practitioners n.e.c.,2212/99,2212
Therapy professionals,222,22
Physiotherapists,2221,222
Electrotherapists,2221/01,2221
Physiotherapists,2221/02,2221
Veterinary physiotherapists,2221/03,2221
Occupational therapists,2222,222
Occupational therapists,2222/00,2222
Speech and language therapists,2223,222
Speech and language therapists,2223/00,2223
Psychotherapists and cognitive behaviour therapists,2224,222
Art psychotherapists,2224/01,2224
Child and adolescent psychotherapists,2224/02,2224
Cognitive behavioural therapists,2224/03,2224
Psychotherapists and cognitive behaviour therapists n.e.c.,2224/99,2224
Clinical psychologists,2225,222
Clinical psychologists,2225/00,2225
Other psychologists,2226,222
Counselling psychologists,2226/01,2226
Educational psychologists,2226/02,2226
Forensic psychologists,2226/03,2226
Health psychologists,2226/04,2226
Occupational psychologists,2226/05,2226
Research psychologists,2226/06,2226
Sports psychologists,2226/07,2226
Other psychologists n.e.c.,2226/99,2226
Therapy professionals n.e.c.,2229,222
Art therapists,2229/01,2229
Chiropractors,2229/02,2229
Drama therapists,2229/03,2229
Music therapists,2229/04,2229
Nutritionists,2229/05,2229
Orthoptists,2229/06,2229
Osteopaths,2229/07,2229
Play therapists,2229/08,2229
Psychological wellbeing practitioners,2229/09,2229
Sports therapists,2229/10,2229
Therapy professionals n.e.c.,2229/99,2229
Nursing professionals,223,22
Midwifery nurses,2231,223
Midwifery nurses,2231/00,2231
Community nurses,2232,223
Learning disability community nurses,2232/01,2232
Mental health and psychiatric community nurses,2232/02,2232
Community nurses n.e.c.,2232/99,2232
Specialist nurses,2233,223
Intensive care nurses,2233/01,2233
Theatre nurses,2233/02,2233
Specialist nurses n.e.c.,2233/99,2233
Nurse practitioners,2234,223
Mental health practitioners,2234/01,2234
Operating department practitioners,2234/02,2234
Nurse practitioners n.e.c.,2234/99,2234
Mental health nurses,2235,223
Mental health nurses,2235/00,2235
Childrens nurses,2236,223
Neonatal nurses,2236/01,2236
Paediatric nurses,2236/02,2236
School nurses,2236/03,2236
Other nursing professionals,2237,223
Other nursing professionals,2237/00,2237
Veterinarians,224,22
Veterinarians,2240,224
Veterinarians,2240/00,2240
Other health professionals,225,22
Pharmacists,2251,225
Pharmacists,2251/00,2251
Optometrists,2252,225
Optometrists,2252/00,2252
Dental practitioners,2253,225
Dental surgeons,2253/01,2253
Endodontists,2253/02,2253
Orthodontists,2253/03,2253
Periodontists,2253/04,2253
Dental practitioners n.e.c.,2253/99,2253
Medical radiographers,2254,225
Diagnostic radiographers and sonographers,2254/01,2254
Therapeutic radiographers,2254/02,2254
Vascular scientists,2254/03,2254
Medical radiographers n.e.c.,2254/99,2254
Paramedics,2255,225
Paramedics,2255/00,2255
Podiatrists,2256,225
Podiatrists,2256/00,2256
Other health professionals n.e.c.,2259,225
Acupuncturists,2259/01,2259
Audiologists,2259/02,2259
Cardiac physiologists,2259/03,2259
Dietitians and nutritionists,2259/04,2259
Health promotion officers,2259/05,2259
Medical physicists and nuclear medicine scientists,2259/06,2259
Mental health workers,2259/07,2259
Neurophysiologists,2259/08,2259
Occupational health advisers,2259/09,2259
Orthotists and prosthetists,2259/10,2259
Respiratory physiologists,2259/11,2259
Sexual health adviser,2259/12,2259
Other health professionals n.e.c.,2259/99,2259
TEACHING AND OTHER EDUCATIONAL PROFESSIONALS,23,2
Teaching professionals,231,23
Higher education teaching professionals,2311,231
Teaching professionals of agriculture and related subjects,2311/01,2311
"Teaching professionals of architecture, building, and planning",2311/02,2311
Teaching professionals of biological sciences,2311/03,2311
Teaching professionals of business and administrative studies,2311/04,2311
Teaching professionals of computer science,2311/05,2311
"Teaching professionals of creative arts, crafts, and design",2311/06,2311
Teaching professionals of education,2311/07,2311
Teaching professionals of engineering and technology,2311/08,2311
Teaching professionals of historical and philosophical studies,2311/09,2311
Teaching professionals of languages,2311/10,2311
Teaching professionals of law,2311/11,2311
Teaching professionals of mass communications and documentation,2311/12,2311
Teaching professionals of mathematical sciences,2311/13,2311
Teaching professionals of medicine and dentistry,2311/14,2311
Teaching professionals of physical sciences,2311/15,2311
Teaching professionals of social studies,2311/16,2311
Teaching professionals of subjects allied to medicine,2311/17,2311
Teaching professionals of veterinary science,2311/18,2311
Higher education teaching professionals n.e.c.,2311/99,2311
Further education teaching professionals,2312,231
"Agriculture, horticulture, and animal care teaching professionals",2312/01,2312
"Arts, media and publishing teaching professionals",2312/02,2312
Automotive teaching professionals,2312/03,2312
Beauty and hairdressing teaching professionals,2312/04,2312
Biology teaching professionals,2312/05,2312
"Business, administration, finance, and law teaching professionals",2312/06,2312
Chemistry teaching professionals,2312/07,2312
"Construction, planning, and the built environment teaching professionals",2312/08,2312
Economics teaching professionals,2312/09,2312
Education and training teaching professionals,2312/10,2312
Engineering and manufacturing technologies teaching professionals,2312/11,2312
English literature and language teaching professionals,2312/12,2312
Geography teaching professionals,2312/13,2312
"Health, public services, and care teaching professionals",2312/14,2312
History teaching professionals,2312/15,2312
Hospitality and catering teaching professionals,2312/16,2312
Information and communication technology teaching professionals,2312/17,2312
"Languages, literature, and culture teaching professionals",2312/18,2312
"Leisure, travel, and tourism teaching professionals",2312/19,2312
Mathematics and statistics teaching professionals,2312/20,2312
"Philosophy, theology, and religious studies teaching professionals",2312/21,2312
Physics teaching professionals,2312/22,2312
Preparation for life and work teaching professionals,2312/23,2312
Psychology teaching professionals,2312/24,2312
Retail and commercial enterprise teaching professionals,2312/25,2312
Social science teaching professionals,2312/26,2312
Further education teaching professionals n.e.c.,2312/99,2312
Secondary education teaching professionals,2313,231
Teachers of art,2313/01,2313
Teachers of biology,2313/02,2313
Teachers of chemistry,2313/03,2313
Teachers of design technology,2313/04,2313
Teachers of drama,2313/05,2313
Teachers of economics,2313/06,2313
Teachers of English,2313/07,2313
Teachers of geography,2313/08,2313
Teachers of history,2313/09,2313
Teachers of ICT and computer science,2313/10,2313
Teachers of mathematics,2313/11,2313
Teachers of modern foreign languages,2313/12,2313
Teachers of music,2313/13,2313
Teachers of physical education,2313/14,2313
Teachers of physics,2313/15,2313
Teachers of psychology,2313/16,2313
Teachers of religious education,2313/17,2313
Teachers of sociology,2313/18,2313
Teachers of Welsh,2313/19,2313
Secondary education teaching professionals n.e.c.,2313/99,2313
Primary education teaching professionals,2314,231
Primary education teaching professionals,2314/00,2314
Nursery education teaching professionals,2315,231
Nursery education teaching professionals,2315/00,2315
Special needs education teaching professionals,2316,231
Special educational teachers and coordinators,2316/01,2316
Teachers of the deaf,2316/02,2316
Teachers of visually impaired,2316/03,2316
Special needs education teaching professionals n.e.c.,2316/99,2316
Teachers of English as a Foreign Language,2317,231
Teachers of English as a Foreign Language,2317/00,2317
Teaching professionals n.e.c.,2319,231
Adult education tutors,2319/01,2319
Dance teachers,2319/02,2319
Drama teachers,2319/03,2319
Forest school practitioners,2319/04,2319
Music and singing teachers,2319/05,2319
Private tutors,2319/06,2319
Teaching professionals n.e.c.,2319/99,2319
Other educational professionals,232,23
Head teachers and principals,2321,232
Heads of further education and sixth form colleges,2321/01,2321
Heads of higher education establishments,2321/02,2321
Heads of nursery schools,2321/03,2321
Heads of primary schools,2321/04,2321
Heads of secondary schools,2321/05,2321
Heads of special needs education schools,2321/06,2321
Education managers,2322,232
Higher education managers,2322/01,2322
School managers,2322/02,2322
Education managers n.e.c.,2322/99,2322
Education advisers and school inspectors,2323,232
Educational advisers,2323/01,2323
School inspectors,2323/02,2323
Early education and childcare services managers,2324,232
Early education and childcare services managers,2324/00,2324
Other educational professionals n.e.c.,2329,232
Educational administrators,2329/01,2329
Educational consultants,2329/02,2329
Examiners and markers,2329/03,2329
Other educational professionals n.e.c.,2329/99,2329
"BUSINESS, MEDIA, AND PUBLIC SERVICE PROFESSIONALS",24,2
Legal professionals,241,24
Barristers and judges,2411,241
Barristers and advocates,2411/01,2411
District Judges,2411/02,2411
Judges,2411/03,2411
Barristers and judges n.e.c,2411/99,2411
Solicitors and lawyers,2412,241
Criminal solicitors and lawyers,2412/01,2412
Commercial solicitors and lawyers,2412/02,2412
Family solicitors and lawyers,2412/03,2412
Property solicitors and lawyers,2412/04,2412
Solicitors and lawyers n.e.c.,2412/99,2412
Legal professionals n.e.c.,2419,241
Adjudicators,2419/01,2419
Conveyancers,2419/02,2419
Paralegals and legal assistants,2419/03,2419
Legal professionals n.e.c.,2419/99,2419
Finance professionals,242,24
Chartered and certified accountants,2421,242
Auditors,2421/01,2421
Financial accountants,2421/02,2421
Financial controllers,2421/03,2421
Forensic accountants,2421/04,2421
Fund accountants,2421/05,2421
Insolvency examiners,2421/06,2421
Management accountants,2421/07,2421
Chartered and certified accountants n.e.c.,2421/99,2421
Finance and investment analysts and advisers,2422,242
Credit risk analysts,2422/01,2422
Financial advisors and planners,2422/02,2422
Financial analysts,2422/03,2422
Mortgage advisers,2422/04,2422
Finance and investment analysts and advisers n.e.c.,2422/99,2422
Taxation experts,2423,242
Taxation experts,2423/00,2423
"Business, research, and administrative professionals",243,24
Management consultants and business analysts,2431,243
Business analysts,2431/01,2431
Management consultants,2431/02,2431
Risk analysts,2431/03,2431
Management consultants and business analysts n.e.c.,2431/99,2431
Marketing and commercial managers,2432,243
Commercial managers,2432/01,2432
Marketing managers,2432/02,2432
Marketing and commercial managers n.e.c.,2432/99,2432
"Actuaries, economists, and statisticians",2433,243
Actuaries and actuarial analysts,2433/01,2433
Data scientists,2433/02,2433
Economists,2433/03,2433
Mathematicians,2433/04,2433
Statisticians,2433/05,2433
"Actuaries, economists, and statisticians n.e.c.",2433/99,2433
Business and related research professionals,2434,243
Researchers in media and entertainment,2434/01,2434
Researchers in national security and protective services,2434/02,2434
Business and related research professionals n.e.c.,2434/99,2434
Professional/chartered company secretaries,2435,243
Professional/chartered company secretaries,2435/00,2435
"Business, research, and administrative professionals n.e.c.",2439,243
Policy officers,2439/01,2439
Registrars,2439/02,2439
"Business, research, and administrative professionals n.e.c.",2439/99,2439
Business and financial project management professionals,244,24
Business and financial project management professionals,2440,244
Business change managers,2440/01,2440
Contract managers,2440/02,2440
Risk managers,2440/03,2440
Business and financial project management professionals n.e.c.,2440/99,2440
"Architects, chartered architectural technologists, planning officers, surveyors, and construction professionals",245,24
Architects,2451,245
Architects (except landscape),2451/01,2451
Landscape architects,2451/02,2451
"Chartered architectural technologists, planning officers, and consultants",2452,245
Chartered architectural technologists,2452/01,2452
Planning officers,2452/02,2452
Urban designers,2452/03,2452
"Chartered architectural technologists, planning officers, and consultants n.e.c.",2452/99,2452
Quantity surveyors,2453,245
Quantity surveyors,2453/00,2453
Chartered surveyors,2454,245
Building control surveyors,2454/01,2454
Hydrographic surveyors,2454/02,2454
Land surveyors,2454/03,2454
Property surveyors,2454/04,2454
Chartered surveyors n.e.c.,2454/99,2454
Construction project managers and related professionals,2455,245
Construction managers,2455/01,2455
Transport planners,2455/02,2455
Construction project managers and related professionals n.e.c.,2455/99,2455
Welfare professionals,246,24
Social workers,2461,246
Adult social workers,2461/01,2461
Addiction and substance abuse social workers,2461/02,2461
"Children, family, and school social workers",2461/03,2461
Criminal justice social workers,2461/04,2461
Homelessness and housing social workers,2461/05,2461
Mental health and healthcare social workers,2461/06,2461
Social workers n.e.c.,2461/99,2461
Probation officers,2462,246
Probation officers,2462/00,2462
Clergy,2463,246
Clergy,2463/00,2463
Youth work professionals,2464,246
Youth work professionals,2464/00,2464
Welfare professionals n.e.c.,2469,246
Addiction and substance abuse advice professionals,2469/01,2469
Adoption officers,2469/02,2469
Children's and family services professionals,2469/03,2469
Community and social development professionals,2469/04,2469
Health education professionals,2469/05,2469
Mediators and restorative practice professionals,2469/06,2469
Welfare professionals n.e.c.,2469/99,2469
Librarians and related professionals,247,24
Librarians,2471,247
Librarians,2471/00,2471
Archivists and curators,2472,247
Archivists,2472/01,2472
Collection managers and curators,2472/02,2472
Conservators,2472/03,2472
Museum education officers,2472/04,2472
Archivists and curators n.e.c.,2472/99,2472
Quality and regulatory professionals,248,24
Quality control and planning engineers,2481,248
Garment technologists,2481/01,2481
Planning engineers,2481/02,2481
Quality control engineers,2481/03,2481
Quality control and planning engineers n.e.c.,2481/99,2481
Quality assurance and regulatory professionals,2482,248
Compliance and regulatory professionals,2482/01,2482
Patent and trademark attorneys,2482/02,2482
Quality assurance professionals,2482/03,2482
Environmental health professionals,2483,248
Environmental health professionals,2483/00,2483
Media professionals,249,24
Newspaper and periodical editors,2491,249
Newspaper and periodical editors,2491/00,2491
Newspaper and periodical journalists and reporters,2492,249
Broadcast journalists,2492/01,2492
Newspaper journalists and reporters,2492/02,2492
Newspaper and periodical journalists and reporters n.e.c.,2492/99,2492
Public relations professionals,2493,249
Communications officers,2493/01,2493
Press officers,2493/02,2493
Public relations officers,2493/03,2493
Social media managers,2493/04,2493
Public relations professionals n.e.c.,2493/99,2493
Advertising accounts managers and creative directors,2494,249
